기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 대구
기간 : 20200803~20220803

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2022-05-29,143,24.9,16.2,33
2022-05-30,143,24.3,20.5,29.6
2022-05-31,143,24.7,18.6,31.1
2022-06-01,143,24.7,18.7,33.1
2022-06-02,143,26.1,17.5,33.5
2022-06-03,143,23.5,18.7,30.4
2022-06-04,143,22.1,17.9,28.8
2022-06-05,143,18,17,19.3
2022-06-06,143,18.7,15.9,23.1
2022-06-07,143,16.5,13.9,21.1
2022-06-08,143,17.5,14.5,22.3
2022-06-09,143,20.4,13.3,28.2
2022-06-10,143,22.7,15.2,29.7
2022-06-11,143,21.4,18.4,26.1
2022-06-12,143,20.7,16.4,25.8
2022-06-13,143,19.9,17.2,24
2022-06-14,143,16.9,15.9,19.2
2022-06-15,143,19.7,15.5,25.3
2022-06-16,143,23.2,16.8,28.9
2022-06-17,143,25.9,17.4,34.2
2022-06-18,143,27.9,22.2,34.3
2022-06-19,143,28.9,23.8,34.5
2022-06-20,143,28.6,23.6,35.6
2022-06-21,143,27.8,22.2,34.1
2022-06-22,143,29.9,23.6,37.1
2022-06-23,143,27.9,23.4,31.6
2022-06-24,143,28.1,23.1,32.9
2022-06-25,143,28.2,22.8,34.4
2022-06-26,143,28.4,24.4,32.8
2022-06-27,143,27.3,25.4,30.1
2022-06-28,143,28.9,24.8,32.3
2022-06-29,143,29.5,27.7,33.7
2022-06-30,143,29.8,26.5,34.8
2022-07-01,143,29.8,24,36.2
2022-07-02,143,29.9,22.5,36.8
2022-07-03,143,29.3,25.3,35.1
2022-07-04,143,28.8,25.8,32.8
2022-07-05,143,28.8,24.6,33
2022-07-06,143,28.5,25.3,33.8
2022-07-07,143,29.7,25.1,35.3
2022-07-08,143,28.5,26,33.6
2022-07-09,143,28.7,24.3,33.8
2022-07-10,143,28.1,24.1,33.4
2022-07-11,143,26.4,23.9,29.7
2022-07-12,143,25.6,23.6,29.4
2022-07-13,143,24.4,22.5,27.7
2022-07-14,143,28.2,23.1,33.6
2022-07-15,143,28.3,23.3,33.2
2022-07-16,143,26.8,21.4,34
2022-07-17,143,27.3,21.5,33
2022-07-18,143,22.9,21.6,27.2
2022-07-19,143,27.6,22.6,34.1
2022-07-20,143,29.4,25.4,34.1
2022-07-21,143,26,21.8,32.3
2022-07-22,143,25.8,22.6,29.7
2022-07-23,143,24.9,22.1,28.6
2022-07-24,143,27.4,22.3,32
2022-07-25,143,28.8,24.9,35.5
2022-07-26,143,26.9,23.1,34
2022-07-27,143,25.6,22,29.9
2022-07-28,143,26.2,24.2,29.6
2022-07-29,143,28.7,24.5,33.9
2022-07-30,143,27.8,25.9,30.3
2022-07-31,143,27.1,25.3,29.5
2022-08-01,143,29.4,26.8,31.2
2022-08-02,143,27.9,25.7,32.6
2022-08-03,143,30.6,26.3,37.1

